c1,c2,c3,color_code
469,517,638,0
481,522,639,0
482,522,639,0
480,521,638,0
477,519,637,0
475,517,636,0
477,520,638,0
481,522,639,0
483,524,639,0
484,523,640,0
484,523,639,0
482,522,639,0
479,520,637,0
476,518,636,0
476,518,637,0
480,521,638,0
483,523,640,0
484,524,640,0
484,523,640,0
482,523,639,0
481,521,639,0
478,519,637,0
475,518,637,0
478,520,638,0
482,522,639,0
484,523,640,0
484,524,640,0
484,523,639,0
481,522,639,0
479,520,638,0
477,519,637,0
477,520,638,0
481,522,639,0
483,523,639,0
484,524,640,0
484,524,640,0
483,522,639,0
481,522,638,0
478,520,637,0
476,518,636,0
478,520,638,0
481,522,640,0
484,525,640,0
485,523,640,0
483,524,640,0
482,522,639,0
479,520,637,0
477,518,637,0
476,519,636,0
480,521,639,0
483,523,640,0
484,524,639,0
484,524,640,0
483,523,639,0
481,521,638,0
478,519,637,0
476,518,636,0
479,520,638,0
482,522,639,0
484,524,640,0
484,524,640,0
483,523,640,0
482,522,639,0
479,520,638,0
476,518,636,0
477,518,637,0
480,521,639,0
482,524,639,0
484,525,640,0
484,524,640,0
483,522,639,0
481,522,638,0
478,519,637,0
476,518,637,0
478,520,638,0
482,523,639,0
483,524,639,0
484,524,640,0
484,523,639,0
482,522,639,0
479,520,638,0
476,518,635,0
477,518,637,0
480,522,638,0
482,523,640,0
485,524,639,0
484,524,640,0
483,523,639,0
481,521,638,0
478,519,637,0
475,518,636,0
478,520,638,0
482,523,639,0
484,524,640,0
485,524,640,0
484,523,640,0
482,523,639,0
480,520,638,0
476,518,637,0
476,518,637,0
480,522,638,0
483,523,639,0
484,524,641,0
484,524,639,0
483,522,640,0
480,521,638,0
478,518,636,0
476,518,637,0
479,520,638,0
481,522,640,0
484,524,639,0
484,524,640,0
483,524,639,0
482,522,639,0
479,520,637,0
476,518,637,0
477,519,637,0
480,522,639,0
483,523,640,0
484,524,640,0
484,523,640,0
483,523,638,0
480,521,638,0
477,518,636,0
476,519,636,0
479,521,638,0
482,523,638,0
484,524,640,0
484,525,640,0
483,523,640,0
481,522,638,0
479,520,637,0
476,517,636,0
477,519,637,0
482,522,639,0
484,523,639,0
484,523,640,0
483,524,640,0
482,522,639,0
480,521,638,0
476,518,636,0
477,518,637,0
480,521,638,0
482,523,639,0
484,525,640,0
484,524,640,0
483,523,639,0
481,521,638,0
478,519,636,0
475,518,637,0
479,521,638,0
482,523,639,0
484,524,640,0
483,524,639,0
483,523,640,0
481,522,638,0
478,520,637,0
475,517,636,0
477,519,637,0
480,522,639,0
484,524,639,0
484,524,640,0
484,524,640,0
482,522,640,0
479,521,638,0
477,517,636,0
476,519,638,0
479,521,638,0
482,523,640,0
484,524,640,0
484,524,640,0
483,523,639,0
480,520,639,0
477,519,637,0
476,518,637,0
478,521,638,0
482,523,639,0
485,525,640,0
484,524,640,0
484,523,639,0
481,522,639,0
479,519,638,0
475,518,636,0
478,519,637,0
481,522,639,0
483,524,640,0
484,524,640,0
484,523,640,0
482,522,639,0
479,521,638,0
476,518,636,0
476,519,637,0
480,522,639,0
483,523,640,0
484,524,640,0
484,523,641,0
482,523,639,0
481,522,638,0
478,519,636,0
476,519,636,0
478,521,638,0
481,523,639,0
484,524,640,0
484,524,640,0
483,523,640,0
481,522,638,0
479,519,637,0
476,518,637,0
478,520,637,0
481,522,639,0
483,523,639,0
485,523,641,0
484,524,639,0
482,522,639,0
480,521,638,0
477,519,636,0
476,518,637,0
480,521,638,0
482,522,640,0
484,524,639,0
484,523,639,0
483,523,639,0
481,521,638,0
478,519,636,0
475,518,636,0
477,519,638,0
481,522,638,0
484,524,640,0
484,526,640,0
485,524,641,0
483,524,639,0
481,521,638,0
477,518,636,0
477,519,637,0
481,522,639,0
482,524,640,0
485,524,640,0
484,524,640,0
482,522,639,0
480,521,638,0
478,519,636,0
475,518,636,0
479,520,638,0
482,523,639,0
484,525,639,0
485,524,641,0
483,523,640,0
482,522,639,0
479,520,637,0
475,517,636,0
477,519,637,0
481,522,638,0
484,524,640,0
484,524,640,0
484,524,640,0
482,523,639,0
480,520,638,0
477,518,635,0
476,519,637,0
480,521,639,0
482,524,640,0
484,524,640,0
484,524,640,0
483,523,640,0
346,418,585,1
353,422,588,1
354,425,586,1
353,425,588,1
358,426,589,1
357,427,589,1
357,427,587,1
368,428,589,1
365,428,587,1
365,428,588,1
366,429,589,1
368,429,588,1
364,429,588,1
365,430,588,1
362,429,587,1
371,431,588,1
373,431,588,1
373,431,587,1
374,430,588,1
370,431,587,1
370,431,587,1
370,431,587,1
369,431,585,1
372,432,587,1
369,432,587,1
371,431,588,1
371,432,588,1
369,436,582,1
368,434,586,1
373,437,583,1
378,436,584,1
377,438,582,1
374,435,586,1
370,436,584,1
374,433,583,1
371,433,587,1
370,428,586,1
358,425,586,1
362,425,583,1
362,423,582,1
355,422,582,1
356,422,581,1
354,421,581,1
373,423,579,1
368,420,580,1
373,423,578,1
372,421,581,1
373,421,578,1
369,422,575,1
364,421,576,1
361,421,577,1
362,418,575,1
371,419,577,1
371,417,575,1
369,414,575,1
364,416,576,1
